#      Train        Test
       0.123         0.17 
       0.227         0.34 
       0.377         0.41 
       0.447         0.45 
       0.502         0.47 
       0.572         0.49 
       0.682         0.66 
       0.786         0.72 
       0.778         0.73 
       0.806         0.74 
       0.811         0.74 
       0.826         0.77 
       0.854         0.76 
       0.861         0.76 
       0.845         0.72 
       0.818         0.74 
       0.884         0.74 
       0.902         0.76 
        0.91         0.78 
       0.917         0.81 
       0.928         0.79 
        0.92          0.8 
       0.929         0.78 
       0.934         0.81 
       0.935          0.8 
       0.928         0.84 
       0.909         0.87 
       0.938         0.84 
       0.953         0.86 
       0.953         0.85 
       0.959         0.85 
       0.959         0.85 
       0.964          0.8 
       0.951         0.81 
       0.967         0.82 
       0.966         0.85 
       0.952         0.79 
       0.962         0.84 
       0.972         0.83 
       0.951         0.79 
       0.966         0.84 
       0.972         0.86 
       0.966         0.85 
       0.977         0.86 
       0.978         0.88 
       0.983         0.89 
       0.981         0.89 
       0.982         0.87 
       0.985         0.86 
       0.986         0.91 
       0.986         0.91 
       0.988          0.9 
        0.99          0.9 
       0.991         0.92 
       0.994         0.91 
       0.991         0.91 
       0.991         0.91 
       0.992          0.9 
       0.992         0.91 
       0.993          0.9 
       0.994          0.9 
       0.993         0.91 
        0.99         0.85 
       0.986         0.89 
       0.992          0.9 
       0.993         0.91 
       0.996         0.92 
       0.995         0.92 
       0.996         0.93 
        0.96         0.85 
       0.915         0.85 
       0.951         0.86 
       0.964         0.88 
        0.97         0.88 
       0.978         0.89 
       0.982         0.89 
       0.992         0.89 
       0.995          0.9 
       0.995         0.91 
       0.998         0.91 
       0.997          0.9 
       0.997          0.9 
       0.997          0.9 
       0.998          0.9 
       0.998         0.92 
           1          0.9 
       0.999          0.9 
       0.998         0.91 
       0.999         0.92 
       0.999         0.91 
       0.999         0.92 
       0.999         0.91 
       0.999         0.91 
       0.999         0.92 
       0.999         0.91 
           1         0.91 
           1          0.9 
           1         0.92 
           1         0.91 
           1          0.9 
