#      Train        Test
     13765.7      8098.93 
     1220.62      5.93038 
     406.552      8178.79 
     807.392       4035.9 
     818.747      8132.82 
     807.353      3975.13 
     2.76166      3899.51 
     375.464      2.95647 
     391.986      2.87457 
     408.573      2.86748 
     411.498      2.86578 
     403.238      2.69053 
     1.82745      2.52227 
     412.487      2.52508 
     1488.93      3.02677 
     2.01913       2.7476 
     1.62201      2.53273 
     1.50292       2.4197 
     1.41601      2.37947 
      1.3469      2.31913 
     1.28321      2.27858 
     400.568      2.36878 
     1.22388      2.27685 
     1.16602      3898.59 
     407.658      2.22438 
     809.864      2.49547 
       1.395      2.32782 
     398.309      2.30217 
     1.11289      2.18198 
     1.05374      2.08893 
      1.0093      4032.96 
    0.972808       4066.6 
     400.198        2.475 
     1.10604      2.24362 
    0.955018      2.15853 
    0.916815       2.0776 
     410.426      2.47358 
    0.961128      2.10545 
     0.87095      2.08152 
     395.748        2.312 
      0.9601      2.07183 
    0.844217      3869.88 
     0.80027      3898.34 
    0.770197      1.92782 
    0.749642      1.91025 
    0.726708      1.85417 
    0.710357      3898.25 
    0.688515       3898.2 
     397.824      1.89693 
    0.675955      1.83295 
     405.558      1.97675 
     0.68881      4032.78 
    0.649202       1.8296 
    0.632565      4066.36 
    0.610648      4066.35 
    0.598208      4066.31 
    0.588252      4066.31 
    0.570417      1.73747 
    0.562655      1.69942 
    0.550657      1.69708 
    0.541225      1.68842 
    0.529465      4013.99 
     405.368      2.14193 
    0.695918      1.84748 
    0.602902      1.74352 
    0.562118      1.70138 
    0.537822      1.68217 
    0.521348      1.65868 
    0.507642      1.65805 
     1919.26      2.38805 
     1.21646      2.21808 
    0.963782      4081.73 
    0.857452      1.96037 
    0.767972      1.93018 
     405.613      1.85343 
      0.6449      1.79082 
     0.59568      1.79335 
    0.555792      1.74497 
    0.531747      1.74563 
    0.506023      1.72582 
    0.489268      1.72857 
    0.478052       1.7134 
    0.464158      1.70822 
    0.456377      1.70008 
     0.44615      1.66308 
     0.43744       1.6749 
    0.425202      1.67367 
     0.41795      1.66098 
    0.410093      1.65548 
     392.774      1.69072 
    0.425987      1.65425 
    0.410322      1.63005 
     0.39815      1.64385 
    0.391147      1.61818 
    0.382563      1.61383 
    0.373345       1.6198 
    0.371848      1.62502 
    0.363943      1.59613 
    0.356118      1.58585 
    0.352535      1.58668 
